X,Y,Voltage
98.0,6.0,-16.664803526409777
99.0,6.0,-23.15307505005026
100.0,6.0,-30.0
0.0,7.0,30.0
1.0,7.0,30.00865515031188
2.0,7.0,30.017480535253082
3.0,7.0,30.026646641872933
4.0,7.0,30.036324494056434
5.0,7.0,30.04668592087713
6.0,7.0,30.05790382474552
7.0,7.0,30.0701524491003
8.0,7.0,30.08360764522458
9.0,7.0,30.098447137557574
10.0,7.0,30.114850786605782
11.0,7.0,30.133000848232893
12.0,7.0,30.15308222771465
13.0,7.0,30.175282726476457
14.0,7.0,30.199793278874317
15.0,7.0,30.226808175723722
16.0,7.0,30.256525270508874
17.0,7.0,30.289146163298994
18.0,7.0,30.324876356340294
19.0,7.0,30.363925374055746
20.0,7.0,30.40650683874435
21.0,7.0,30.45283849159603
22.0,7.0,30.503142146690212
23.0,7.0,30.55764356338768
24.0,7.0,30.616572219909553
25.0,7.0,30.68016096787268
26.0,7.0,30.74864554406338
27.0,7.0,30.82226391171728
28.0,7.0,30.901255398966253
29.0,7.0,30.985859596845476
30.0,7.0,31.07631497325016
31.0,7.0,31.172857152426705
32.0,7.0,31.27571680190941
33.0,7.0,31.385117060230243
34.0,7.0,31.50127042920988
35.0,7.0,31.6243750442115
36.0,7.0,31.754610224493447
37.0,7.0,31.89213119393737
38.0,7.0,32.03706285029591
39.0,7.0,32.18949244928177
40.0,7.0,32.34946105918978
41.0,7.0,32.51695363364356
42.0,7.0,32.69188754642998
43.0,7.0,32.87409943600158
44.0,7.0,33.06333022195223
45.0,7.0,33.2592081868694
46.0,7.0,33.461230071410725
47.0,7.0,33.66874021716479
48.0,7.0,33.88090792170877
49.0,7.0,34.09670335557881
50.0,7.0,34.31487264387827
51.0,7.0,34.53391304503438
52.0,7.0,34.75204956605956
53.0,7.0,34.96721482029398
54.0,7.0,35.177034413148476
55.0,7.0,35.378820544244775
56.0,7.0,35.56957669962367
57.0,7.0,35.74601609036159
58.0,7.0,35.90459568417975
59.0,7.0,36.04156616424007
60.0,7.0,36.15303602506095
61.0,7.0,36.23504567327284
62.0,7.0,36.28364551076712
63.0,7.0,36.294971231254074
64.0,7.0,36.26531026267546
65.0,7.0,36.19115512433778
66.0,7.0,36.06924173813272
67.0,7.0,35.89657275711728
68.0,7.0,35.6704273455424
69.0,7.0,35.38835945660716
70.0,7.0,35.048186601215505
71.0,7.0,34.647970555038654
72.0,7.0,34.18599058154861
73.0,7.0,33.660708687699106
74.0,7.0,33.070725272869076
75.0,7.0,32.41472236075765
76.0,7.0,31.691390507915816
77.0,7.0,30.899334580755376
78.0,7.0,30.036953034802124
79.0,7.0,29.10228526199172
80.0,7.0,28.092822056993754
81.0,7.0,27.00527515606397
82.0,7.0,25.8353026956483
83.0,7.0,24.5771876558408
84.0,7.0,23.223465287362597
85.0,7.0,21.764493117474984
86.0,7.0,20.18795429253709
87.0,7.0,18.47828368421015
88.0,7.0,16.616009499473027
89.0,7.0,14.577016146175117
90.0,7.0,12.331765346901337
91.0,7.0,9.844576379534233
92.0,7.0,7.073185875448206
93.0,7.0,3.9690152431506323
94.0,7.0,0.47890327880860845
95.0,7.0,-3.450485953372494
96.0,7.0,-7.863919420980644
97.0,7.0,-12.78285470967296
98.0,7.0,-18.184540725522226
99.0,7.0,-23.979444962091783
100.0,7.0,-30.0
0.0,8.0,30.0
1.0,8.0,30.009403288164865
2.0,8.0,30.019000364659295
3.0,8.0,30.028985306897606
4.0,8.0,30.039552806680373
5.0,8.0,30.050898477611472
6.0,8.0,30.063219162647652
7.0,8.0,30.07671324162698
8.0,8.0,30.09158093844591
9.0,8.0,30.108024627327858
10.0,8.0,30.126249137340544
11.0,8.0,30.146462053971682
12.0,8.0,30.168874016150813
13.0,8.0,30.193699006602376
14.0,8.0,30.221154632817925
15.0,8.0,30.251462395230043
16.0,8.0,30.28484793834039
17.0,8.0,30.321541279580867
18.0,8.0,30.361777009545897
19.0,8.0,30.4057944559015
20.0,8.0,30.453837801720375
21.0,8.0,30.506156147179627
22.0,8.0,30.56300350144609
23.0,8.0,30.62463868912045
24.0,8.0,30.691325152760555
25.0,8.0,30.763330629700306
26.0,8.0,30.84092667755408
27.0,8.0,30.924388018374344
28.0,8.0,31.013991666329826
29.0,8.0,31.11001579790264
30.0,8.0,31.21273831686722
31.0,8.0,31.322435058611948
32.0,8.0,31.439377569590963
33.0,8.0,31.56383038774993
34.0,8.0,31.69604773857315
35.0,8.0,31.836269548887334
36.0,8.0,31.98471666672727
37.0,8.0,32.14158516048796
38.0,8.0,32.307039554461
39.0,8.0,32.48120484107576
40.0,8.0,32.66415709343522
41.0,8.0,32.85591248619096
42.0,8.0,33.05641452021782
43.0,8.0,33.265519239640525
44.0,8.0,33.482978232540006
45.0,8.0,33.70841922495176
46.0,8.0,33.94132411980476
47.0,8.0,34.181004409591495
48.0,8.0,34.42657401891122
49.0,8.0,34.67691982971067
50.0,8.0,34.93067043051863
51.0,8.0,35.1861640343645
52.0,8.0,35.44141704593274
53.0,8.0,35.694095426821335
54.0,8.0,35.941491771363424
55.0,8.0,36.18051176268633
56.0,8.0,36.407674234232694
57.0,8.0,36.61912911299727
58.0,8.0,36.81069669168435
59.0,8.0,36.97792964711596
60.0,8.0,37.11619596781583
61.0,8.0,37.2207770322023
62.0,8.0,37.28697171428012
63.0,8.0,37.31019603197086
64.0,8.0,37.286069190402465
65.0,8.0,37.2104802039695
66.0,8.0,37.079633151469274
67.0,8.0,36.89007229267243
68.0,8.0,36.63869018047438
69.0,8.0,36.322722545789446
70.0,8.0,35.939733410759665
71.0,8.0,35.48759294876777
72.0,8.0,34.96444933213928
73.0,8.0,34.36869436234697
74.0,8.0,33.6989211578655
75.0,8.0,32.953870647943184
76.0,8.0,32.13236217908393
77.0,8.0,31.233202353079417
78.0,8.0,30.255065551710047
79.0,8.0,29.196339811024547
80.0,8.0,28.05493309141286
81.0,8.0,26.828037577119243
82.0,8.0,25.51185291634788
83.0,8.0,24.10127216841201
84.0,8.0,22.589535444231167
85.0,8.0,20.96785555849558
86.0,8.0,19.22501896651514
87.0,8.0,17.346966703035292
88.0,8.0,15.316367599309839
89.0,8.0,13.112214188734894
